File,Game
hitster-ca-aaad0001.csv,Hitster Canada
hitster-de.csv,Hitster Deutschland
hitster-de-aaaa0007.csv,Hitster Deutschland Schlagerparty
hitster-de-aaaa0012.csv,Hitster Deutschland Summer Party
hitster-de-aaaa0015.csv,Hitster Deutschland Guilty Pleasures
hitster-de-aaaa0019.csv,Hitster Deutschland Bingo
hitster-de-aaaa0025.csv,Hitster Deutschland Bayern 1 Expansion Pack
hitster-de-aaaa0026.csv,Hitster Deutschland Movies & TV Soundtracks Expansion Pack 
hitster-de-aaaa0039.csv,Hitster Deutschland Rock
hitster-fr.csv,Hitster France
hitster-hu-aaae0003.csv,Hitster Magyarország
hitster-nordics.csv,Hitster Nordics Suomi
hitster-pl-aaae0001.csv,Hitster Polska
